player_id,game_id,team_id,player_name,minutes_mean_A,minutes_mean_B,delta,delta_abs,share,p_rot,mu_cond,status,eligible_flag
1628467,22500418,1610612747,Maxi Kleber,10.722082453327733,0.0,10.722082453327733,10.722082453327733,14.750666666666666,0.9456398640996603,13.571838916693011,UNK,1
1631243,22500411,1610612737,Mouhamed Gueye,10.6789279601795,0.0,10.6789279601795,10.6789279601795,13.09,0.5194508009153318,13.566717717438438,UNK,1
1630679,22500413,1610612754,Ethan Thompson,15.734736336410794,26.38845329551859,-10.653716959107797,10.653716959107797,22.563,0.9946236559139785,28.36665836667309,UNK,1
1642258,22500411,1610612737,Zaccharie Risacher,20.218443948035294,30.845557875422973,-10.62711392738768,10.62711392738768,24.783333333333335,0.9938080495356038,28.143569403124076,UNK,1
1642857,22500414,1610612748,Kasparas Jakučionis,10.552772418055888,0.0,10.552772418055888,10.552772418055888,14.1325,0.853763440860215,15.872500946716215,UNK,1
1629638,22500411,1610612737,Nickeil Alexander-Walker,26.154807517444983,36.632933315324046,-10.478125797879063,10.478125797879063,32.06,0.9968652037617555,33.321482605640995,UNK,1
1629655,22500415,1610612742,Daniel Gafford,10.477736076622186,0.0,10.477736076622186,10.477736076622186,14.141,0.6384615384615384,13.532781206730757,UNK,1
1629723,22500419,1610612763,John Konchar,10.45280640706023,0.0,10.45280640706023,10.45280640706023,14.693333333333333,0.853763440860215,16.769310634379746,UNK,1
1626145,22500420,1610612753,Tyus Jones,13.267692274020874,23.621703314836196,-10.354011040815323,10.354011040815323,17.961666666666666,0.9983818770226537,26.791718609678604,UNK,1
1628970,22500409,1610612766,Miles Bridges,23.08133759856732,33.290802060097846,-10.209464461530526,10.209464461530526,33.080333333333336,0.9983818770226537,33.27816435825125,UNK,1
1641715,22500409,1610612764,Cam Whitmore,10.198408681936131,0.0,10.198408681936131,10.198408681936131,15.813666666666666,0.853763440860215,19.126016208094722,UNK,1
1630552,22500411,1610612737,Jalen Johnson,28.523370352514082,38.6866147735238,-10.163244421009718,10.163244421009718,34.96333333333334,0.9983818770226537,35.13606308629448,UNK,1
1630587,22500418,1610612756,Isaiah Livers,10.146163656454727,0.0,10.146163656454727,10.146163656454727,13.237333333333334,0.853763440860215,14.786670995399914,UNK,1
1628392,22500417,1610612760,Isaiah Hartenstein,17.507268726646934,27.62532074364967,-10.118052017002736,10.118052017002736,24.345,0.9983818770226537,28.122584382359225,UNK,1
1642948,22500415,1610612742,Ryan Nembhard,19.47876414103109,29.541986310933435,-10.063222169902346,10.063222169902346,26.288999999999998,0.9968652037617555,27.585445914049643,UNK,1
1628502,22500418,1610612756,Nigel Hayes-Davis,9.85592287498483,0.0,9.85592287498483,9.85592287498483,12.858666666666668,0.7945205479452054,14.48252314628326,UNK,1
1642352,22500414,1610612748,Keshad Johnson,9.823617472629982,0.0,9.823617472629982,9.823617472629982,13.155999999999997,0.7692307692307693,15.373769208293341,UNK,1
