Player,Team,Exp_2.0,Starter,Exp_2.5,Exp_3.0
Tre Jones,CHI,13.364759201574032,0,11.774620475541017,10.16255931792146
Justin Edwards,PHI,14.041690279623495,0,11.812918534136399,9.710091526053384
Adem Bona,PHI,14.016452440482572,0,11.786384555622288,9.683924635746369
Jaden Ivey,DET,13.591383058462581,0,11.533069988150109,9.613467418092915
Ryan Dunn,PHX,13.04568965521475,0,11.144603130853044,9.365051800833745
Dylan Cardwell,SAC,12.922788708005948,0,10.999339094847876,9.231701316102523
Kentavious Caldwell-Pope,MEM,12.999414685987746,0,10.837323550820301,8.886161380445985
Tristan Vukcevic,WAS,11.674633293888366,0,10.173441637323476,8.727174742364797
Nique Clifford,SAC,12.4384493795165,0,10.486464486370313,8.717596110541995
Corey Kispert,WAS,11.633342622237647,0,10.128484940207443,8.680916488852954
Ziaire Williams,BKN,12.286197364622183,0,10.298048076887762,8.48808684750874
Quenton Jackson,IND,12.52925388854867,0,10.396019054292033,8.430942454990877
Aaron Wiggins,OKC,11.872945226818837,0,10.042556099566438,8.349691715983697
Cole Anthony,MIL,11.931323474451911,0,10.059394652361672,8.339034514651848
Alex Caruso,OKC,11.778520569790093,0,9.94282091051269,8.250283297628963
Tari Eason,HOU,12.208440367394052,0,10.096526341605255,8.188213464401914
Jarace Walker,IND,12.160408220301589,0,10.014879945909861,8.06140131558066
Jamaree Bouyea,PHX,11.765353881932581,0,9.794607724277242,8.020789366030975
Luke Kennard,ATL,11.797568190288178,0,9.74843018811145,7.944558812730703
Brandon Williams,DAL,12.282548163227522,0,9.91000746481474,7.8227534278453685
Jett Howard,ORL,12.80082809543282,0,10.06596811506745,7.738293461630698
Justin Champagnie,WAS,10.737982480168233,0,9.163622749459721,7.698264635842808
Nikola Jović,MIA,10.68522617144519,0,9.114106590582102,7.681205631462145
Andre Drummond,PHI,11.834966840629884,0,9.53985511322143,7.513543540940943
Karlo Matković,NOP,10.731929419729278,0,9.01917636837222,7.455017385045724
Kenrich Williams,OKC,10.990046964154926,0,9.117916726484161,7.435874768358938
Keon Ellis,SAC,11.033683664969653,0,9.027592505451459,7.2832995550611495
Tyrese Martin,BKN,10.723920789899392,0,8.688104831004575,6.92171924102481
Keldon Johnson,SAS,10.473602155608516,0,8.589693077695284,6.91621813224408
Micah Peavy,NOP,10.145973150797916,0,8.407884859845842,6.852870294554397
Kevon Looney,NOP,10.105760887841353,0,8.366251050602216,6.812169980515326
Patrick Williams,CHI,10.185570978015104,0,8.384500967260328,6.761443998386732
Olivier-Maxence Prosper,MEM,10.782883597207373,0,8.578985584536305,6.713219917284972
James Wiseman,IND,10.716731313817363,0,8.551424833032266,6.669324119622189
Kobe Sanders,LAC,10.734260107147279,0,8.512833492853758,6.616978947632123
Tidjane Salaün,CHA,10.570992799188415,0,8.417590635228404,6.590361540760852
Dru Smith,MIA,9.579200038717529,0,7.950528662604632,6.520001215337666
Ben Saraf,BKN,10.26764368380148,0,8.228516453818413,6.484698170955088
Bones Hyland,MIN,10.449363338115202,0,8.303804345613337,6.459101959239814
Day'Ron Sharpe,BKN,9.68203337390747,0,7.646122906989248,5.937907749671609
Isaiah Joe,OKC,9.427475860294342,0,7.527321617567928,5.907801408993543
Thomas Bryant,CLE,9.547697234260484,0,7.543985399185493,5.890242601513729
Simone Fontecchio,MIA,8.885783749161922,0,7.237759183640284,5.825020021582751
Jevon Carter,CHI,9.166863001743868,0,7.349730605711172,5.772879567440134
Walter Clayton Jr.,UTA,9.730625348586031,0,7.516959604340013,5.653202578571251
Caleb Love,POR,9.250739459433003,0,7.2862877493488165,5.619511610194217
Malik Williams,ATL,9.31945114804686,0,7.259922518922805,5.577846316892765
Gary Harris,MIL,9.021761329644836,0,7.0929228931660075,5.483020145902745
Brice Sensabaugh,UTA,9.433328465015784,0,7.230985202534969,5.396110768721704
Kyle Anderson,UTA,9.16157709690622,0,6.971545686382138,5.164624867609014
T.J. McConnell,IND,8.967125270635778,0,6.843481550735395,5.10467580850434
Daniss Jenkins,DET,8.856145484945877,0,6.751826744002085,5.0565195778521295
Collin Murray-Boyles,TOR,9.16248789931052,0,6.868567662561449,5.036638718360604
Jaxson Hayes,LAL,8.31011500011675,0,6.362765220132179,4.778920412037577
Rob Dillingham,MIN,8.499787356749819,0,6.414678517526559,4.738593842856136
D'Angelo Russell,DAL,8.722587156342716,0,6.460558062016611,4.681606466287015
Robert Williams III,POR,8.177942803995327,0,6.245839823901602,4.670893893468655
Aaron Holiday,HOU,8.37244395607152,0,6.301037456825994,4.650260161512079
Noah Penda,ORL,9.075044327859459,0,6.548154419747852,4.619141113964512
Trey Jemison III,NYK,8.59255972356491,0,6.3208384065728405,4.568650354865848
Daniel Gafford,DAL,8.520102510694239,0,6.273637370660957,4.519539204002233
Kevin Huerter,CHI,7.746711224298183,0,5.955143122455007,4.484741718526671
Terrence Shannon Jr.,MIN,8.160964741522852,0,6.096656080589171,4.458098365892294
Oscar Tshiebwe,UTA,8.228228541374998,0,6.095357874212559,4.395850762101364
Maxi Kleber,LAL,7.828654920156725,0,5.905355456950427,4.369683405411063
Kasparas Jakučionis,MIA,7.285909807190237,0,5.647278331419897,4.324934145866879
Javonte Green,DET,7.959339379598412,0,5.908287775815069,4.30824223729392
DeAndre Jordan,NOP,7.424492222611254,0,5.690534564657879,4.289750996845454
Jalen Pickett,DEN,8.04082021805532,0,5.892793929634141,4.241332719969999
Cody Williams,UTA,8.011552062316467,0,5.895384035171685,4.223362991304843
Jase Richardson,ORL,8.474164657679585,0,6.0107559021415575,4.168055037048012
Tre Johnson,WAS,7.107524051115321,0,5.470937587758788,4.145589605717404
Keshad Johnson,MIA,7.016298841403038,0,5.387280051557425,4.087106273852081
Jordan Hawkins,NOP,7.18198326805405,0,5.459150987714922,4.081300123885901
Nae'Qwan Tomlin,CLE,7.427055469175062,0,5.511227961272242,4.041198895337177
Jordan Miller,LAC,7.601844567189709,0,5.530415070579923,3.9434837819129314
Kobe Brown,LAC,7.6018064318340715,0,5.530380390803945,3.9434541076740266
Gradey Dick,TOR,7.783400071170556,0,5.60158726095332,3.943435207914921
Javon Small,MEM,7.517845200391107,0,5.46555181045663,3.9081260918184118
Nolan Traore,BKN,7.314321256847803,0,5.385184595362027,3.898922747247107
Zach Collins,CHI,7.017619007366466,0,5.262992215610816,3.866749744815865
Johnny Furphy,IND,7.35624320603891,0,5.342944384026273,3.7929090517911215
Jalen Smith,CHI,6.739238661228739,0,5.0033287600100715,3.6389630099961185
Ja'Kobe Walter,TOR,7.243115784555203,0,5.119837745459292,3.5400453048105724
Adou Thiero,LAL,6.753421686065364,0,4.9095528705959754,3.5011043028133706
Eric Gordon,PHI,7.021572554523788,0,4.967363671918081,3.4335693300418026
Liam McNeeley,CHA,6.8378552371943115,0,4.8830700871929515,3.4285890045642113
Dalton Knecht,LAL,6.555271707642731,0,4.730156151592708,3.3481529804462182
Julian Phillips,CHI,6.350015037257601,0,4.644767043003808,3.3283080599099537
Dalen Terry,CHI,6.337124892019861,0,4.632984290971585,3.3181788095788782
Jaylen Clark,MIN,6.679964490717106,0,4.74659865747719,3.301403635845423
Jaden Hardy,DAL,6.862331159320384,1,4.786884812805992,3.266889433305248
Clint Capela,HOU,6.502760197650046,0,4.594295482442447,3.183064836787263
Brooks Barnhizer,OKC,6.21414296664815,0,4.470671267463937,3.161583129996512
Josh Green,CHA,6.465538444597526,0,4.553013657561115,3.1524094616683658
Malaki Branham,WAS,5.911054494107565,0,4.345052635823464,3.1441716282140906
Will Riley,WAS,5.9098532214373884,0,4.34394888597931,3.1432132165933178
Bronny James,LAL,6.24226600255355,0,4.449538259363073,3.11123384212457
Moussa Cisse,DAL,6.488665755197336,0,4.4633160545625055,3.0037240568694332
Jonas Valančiūnas,DEN,6.316656403861015,0,4.358177172776308,2.953130886694261
Chris Mañon,LAL,5.935608073182604,0,4.17800184331915,2.884809053730896
Tre Mann,CHA,5.910086241455736,0,4.0694465898033325,2.755029808414187
Garrison Mathews,IND,5.915110854997106,0,4.068311186504757,2.7348445301350046
Jeremy Sochan,SAS,5.6271351865576005,0,3.9510883485156993,2.7236769520499795
Yves Missi,NOP,5.42827780787431,0,3.8472215974376938,2.68179173267123
Nigel Hayes-Davis,PHX,5.6590905706274715,0,3.923413749428232,2.6756517470395997
Jalen Wilson,BKN,5.687264064786771,0,3.9319890288296593,2.673244446742689
