Player,Team,Rot_2.0,Starter,Rot_2.5,Rot_3.0
Pascal Siakam,IND,32.49786340488607,1,32.49786340488607,32.49786340488607
Derik Queen,NOP,32.36949160789314,1,32.36949160789314,32.36949160789314
Donovan Mitchell,CLE,32.34472908943453,1,32.34472908943453,32.34472908943453
Jaylen Wells,MEM,32.310458024652746,1,32.310458024652746,32.310458024652746
Andrew Nembhard,IND,32.22104333591039,1,32.22104333591039,32.22104333591039
Darius Garland,CLE,32.04704076945629,1,32.04704076945629,32.04704076945629
Josh Giddey,CHI,31.936312035701608,1,31.936312035701608,31.936312035701608
Jaren Jackson Jr.,MEM,31.84023739716964,1,31.84023739716964,31.84023739716964
Paul George,PHI,31.837658927144716,1,31.837658927144716,31.837658927144716
Shai Gilgeous-Alexander,OKC,31.830673933414634,1,31.830673933414634,31.830673933414634
Amen Thompson,HOU,31.636899496978913,1,31.636899496978913,31.636899496978913
Ryan Nembhard,DAL,31.567953620034046,1,31.567953620034046,31.567953620034046
Jake LaRavia,LAL,31.282281267119558,1,31.282281267119558,31.282281267119558
Jabari Smith Jr.,HOU,31.261660179154838,1,31.261660179154838,31.261660179154838
Kevin Durant,HOU,31.091476480301775,1,31.091476480301775,31.091476480301775
DeMar DeRozan,SAC,30.907511551365783,1,30.907511551365783,30.907511551365783
Dillon Brooks,PHX,30.78385816020276,1,30.78385816020276,30.78385816020276
Norman Powell,MIA,30.747336024777304,1,30.747336024777304,30.747336024777304
Alperen Sengun,HOU,30.626611084298055,1,30.626611084298055,30.626611084298055
Coby White,CHI,30.46371561876005,1,30.46371561876005,30.46371561876005
Nikola Vučević,CHI,30.358248631540967,1,30.358248631540967,30.358248631540967
Tyler Kolek,NYK,30.34767081689102,1,30.34767081689102,30.34767081689102
Tobias Harris,DET,30.32855054572004,1,30.32855054572004,30.32855054572004
De'Aaron Fox,SAS,30.207040681889723,1,30.207040681889723,30.207040681889723
Bobby Portis,MIL,30.13027119900386,1,30.13027119900386,30.13027119900386
Mitchell Robinson,NYK,30.095542536705675,1,30.095542536705675,30.095542536705675
Devin Vassell,SAS,30.07664300991241,1,30.07664300991241,30.07664300991241
Royce O'Neale,PHX,30.01993824924768,1,30.01993824924768,30.01993824924768
Stephon Castle,SAS,29.975476525548775,1,29.975476525548775,29.975476525548775
Maxime Raynaud,SAC,29.756976727186963,1,29.756976727186963,29.756976727186963
Noah Clowney,BKN,29.739495024229175,1,29.739495024229175,29.739495024229175
Kyle Kuzma,MIL,29.65491019727249,1,29.65491019727249,29.65491019727249
Nic Claxton,BKN,29.625671502314997,1,29.625671502314997,29.625671502314997
Wendell Carter Jr.,ORL,29.483072596157243,1,29.483072596157243,29.483072596157243
Myles Turner,MIL,29.472437812757313,1,29.472437812757313,29.472437812757313
Ace Bailey,UTA,29.45987861107816,1,29.45987861107816,29.45987861107816
Jalen Williams,OKC,29.401945403637676,1,29.401945403637676,29.401945403637676
LaMelo Ball,CHA,29.3537822859133,1,29.3537822859133,29.3537822859133
CJ McCollum,WAS,29.34191385571865,1,29.34191385571865,29.34191385571865
Bam Adebayo,MIA,29.230127293409755,1,29.230127293409755,29.230127293409755
Kyshawn George,WAS,29.12703498706572,1,29.12703498706572,29.12703498706572
John Collins,LAC,29.08897032063175,1,29.08897032063175,29.08897032063175
Luke Kornet,SAS,29.008225454757767,1,29.008225454757767,29.008225454757767
Egor Dëmin,BKN,29.007629804013238,1,29.007629804013238,29.007629804013238
Marcus Smart,LAL,28.955569795944577,1,28.955569795944577,28.955569795944577
Ausar Thompson,DET,28.911972433723758,1,28.911972433723758,28.911972433723758
Davion Mitchell,MIA,28.87158967696419,1,28.87158967696419,28.87158967696419
