Player,Team,Minutes,Starter,Status,Play Prob,Position
De'Andre Hunter,CLE,18.69204450855047,0,UNK,1.0,W
Victor Wembanyama,SAS,18.69047568510669,0,UNK,1.0,BIG
Tim Hardaway Jr.,DEN,18.65573456817102,0,UNK,1.0,W
Jordan Clarkson,NYK,18.592233326152137,0,UNK,1.0,G
Isaiah Collier,UTA,18.164297230897446,0,UNK,1.0,G
Reed Sheppard,HOU,18.029227636111177,0,UNK,1.0,G
Jordan Goodwin,PHX,17.69901812802623,0,UNK,1.0,G
Tre Jones,CHI,17.547744724283053,0,UNK,1.0,G
Sidy Cissoko,POR,17.54557523088627,0,UNK,1.0,G
Nique Clifford,SAC,17.43229407757473,0,UNK,1.0,G
Sion James,CHA,17.364210389744446,0,UNK,1.0,G
Brice Sensabaugh,UTA,17.267561200335493,0,UNK,1.0,W
Aaron Wiggins,OKC,17.170151120762153,0,UNK,1.0,G
Jose Alvarado,NOP,17.061153246018616,0,UNK,1.0,G
Cason Wallace,OKC,16.957707216703405,0,UNK,1.0,G
Andre Drummond,PHI,16.95212278759837,0,UNK,1.0,BIG
Ryan Rollins,MIL,16.916177127076487,0,UNK,1.0,G
Ayo Dosunmu,CHI,16.73956053284055,0,UNK,1.0,G
Corey Kispert,WAS,16.71330079844646,0,UNK,1.0,W
Dennis Schröder,SAC,16.68584989455192,0,UNK,1.0,G
Isaiah Joe,OKC,16.60648260622736,0,UNK,1.0,G
Nicolas Batum,LAC,16.523230952375638,0,UNK,1.0,W
Oso Ighodaro,PHX,16.2525992839112,0,UNK,1.0,W
Danny Wolf,BKN,16.17094875768962,0,UNK,1.0,W
James Wiseman,IND,16.10433146810545,0,UNK,1.0,BIG
Marvin Bagley III,WAS,16.103341512625114,0,UNK,1.0,W
Bruce Brown,DEN,16.054373282837055,0,UNK,1.0,W
Adem Bona,PHI,16.002487065474597,0,UNK,1.0,W
Tari Eason,HOU,15.862385477340704,0,UNK,1.0,W
Jarred Vanderbilt,LAL,15.687777113331455,0,UNK,1.0,W
Gary Trent Jr.,MIL,15.664916509660111,0,UNK,1.0,G
Jase Richardson,ORL,15.428995318640794,0,UNK,1.0,G
Julian Champagnie,SAS,15.414083084346633,0,UNK,1.0,W
Bogdan Bogdanović,LAC,15.277581276659571,0,UNK,1.0,G
Jett Howard,ORL,15.141408835602808,0,UNK,1.0,G
Jericho Sims,MIL,15.125913907329581,0,UNK,1.0,BIG
Malik Monk,SAC,15.0,0,UNK,1.0,G
Javonte Green,DET,15.0,0,UNK,1.0,G
Yang Hansen,POR,15.0,0,UNK,1.0,BIG
Noah Penda,ORL,15.0,0,UNK,1.0,W
Jaden Ivey,DET,15.0,0,UNK,1.0,G
Dario Šarić,SAC,15.0,0,UNK,1.0,BIG
Eric Gordon,PHI,15.0,0,UNK,1.0,G
Quenton Jackson,IND,15.0,0,UNK,1.0,G
Ziaire Williams,BKN,15.0,0,UNK,1.0,W
Tristan Vukcevic,WAS,15.0,0,UNK,1.0,W
Kobe Brown,LAC,15.0,0,UNK,1.0,W
Steven Adams,HOU,15.0,0,UNK,1.0,BIG
Jordan Miller,LAC,15.0,0,UNK,1.0,G
Keon Ellis,SAC,15.0,0,UNK,1.0,G
Kyle Lowry,PHI,15.0,0,UNK,1.0,G
D'Angelo Russell,DAL,15.0,0,UNK,1.0,G
Matisse Thybulle,POR,15.0,0,UNK,1.0,W
Taylor Hendricks,UTA,15.0,0,UNK,1.0,W
Dru Smith,MIA,15.0,0,UNK,1.0,G
Luke Kennard,ATL,15.0,0,UNK,1.0,G
Jalen Pickett,DEN,15.0,0,UNK,1.0,G
Robert Williams III,POR,15.0,0,UNK,1.0,BIG
Justin Edwards,PHI,15.0,0,UNK,1.0,W
Nolan Traore,BKN,15.0,0,UNK,1.0,G
Jonathan Isaac,ORL,15.0,0,UNK,1.0,W
Walter Clayton Jr.,UTA,15.0,0,UNK,1.0,G
Collin Murray-Boyles,TOR,15.0,0,UNK,1.0,W
Ja'Kobe Walter,TOR,15.0,0,UNK,1.0,G
Pelle Larsson,MIA,15.0,0,UNK,1.0,G
Tyrese Martin,BKN,15.0,0,UNK,1.0,W
Cole Anthony,MIL,15.0,0,UNK,1.0,G
Ryan Dunn,PHX,15.0,0,UNK,1.0,W
Vít Krejčí,ATL,15.0,0,UNK,1.0,G
Julian Phillips,CHI,15.0,0,UNK,1.0,W
Jock Landale,MEM,15.0,0,UNK,1.0,BIG
Kentavious Caldwell-Pope,MEM,15.0,0,UNK,1.0,G
Jevon Carter,CHI,15.0,0,UNK,1.0,G
Kevin Huerter,CHI,15.0,0,UNK,1.0,W
