game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,A_wins_top5,C_wins_top5,A_wins_mae,C_wins_mae
2025-12-15,clean,,0.0,5,10,174,True,4.8795240806030105,6.887039304193434,159.32682760297013,37.72105642148597,0.34763736927861466,12.9,9.071349082719385,5.10895251926969,7.814064894282135,146.00067818616094,31.32550831336716,0.17183248103079513,11.0,14.817695738998333,4.5386269065631355,6.927133086822735,166.52184315896653,39.44530893507161,0.3008978968598597,11.0,9.168307470751031,True,True,True,True
2025-12-16,clean,,0.0,1,2,35,True,3.874286004629699,5.6029951804093,168.34198516133216,37.15197234657525,0.48515078320359556,16.0,4.03085138165498,4.361355907683357,6.771942734374875,149.74892507841605,31.187813109850186,0.19177903076979363,11.0,14.730925994661598,3.2245608830143446,5.506441324455496,178.42560124615215,39.36436479883378,0.3497300025259443,11.0,4.279901445420024,True,True,True,True
2025-12-17,clean,,0.0,2,4,70,True,3.1744404143858644,4.673233394639599,161.04027448022234,37.32799479653506,0.3050212996800262,11.5,8.55653947650259,3.427244046301238,5.547678890119752,151.16399951530747,31.857433152303102,0.17919558661004878,10.75,14.876990134772935,2.863325027083607,4.460393982343586,164.5179790492582,38.100342026805166,0.287433881512405,10.75,8.406063746373844,True,True,True,True
2025-12-18,clean,,0.0,12,24,427,True,4.521881599701418,6.563489858717438,155.89937654780297,36.672671741981446,0.32963118832618304,12.958333333333334,9.616067413354093,4.344385855064089,6.681600777461926,147.02890942790924,31.679828386276338,0.1714781743223831,10.875,14.851054773563419,4.258781271611658,6.489546379043725,164.46606739209616,38.60651007822704,0.28359169729487776,10.875,9.539055296398283,True,True,False,True
2025-12-19,clean,,0.0,5,10,172,True,4.362599871744221,6.865256100277846,161.78542073301654,37.7023955388848,0.3453286338413398,12.4,9.342048656299683,4.131754387356335,6.313529872356192,148.25831576115675,32.11639871166878,0.179952307789862,10.9,14.778068185117116,4.1117487442737195,6.806280040993925,166.8928771618154,38.881673341930906,0.29864152751697537,10.9,9.576599582004453,True,True,False,True
2025-12-20,clean,,0.0,10,20,353,True,7.470539944286156,9.936132641660894,141.77965182048544,33.34013704519133,0.42910451970662844,17.65,9.247402963784726,6.6487593769146685,9.62725900459454,144.25741255742338,32.16629532309164,0.1752387583532127,11.0,14.624088863710199,7.0774603751105785,10.647060625860517,159.10314079305243,37.40273239163722,0.2708428906445827,11.0,10.184671262097435,False,True,False,False
2025-12-21,clean,,0.0,6,12,209,True,5.88477786021781,8.051242653784374,146.78539135682843,33.928269210869594,0.43267959672366624,16.75,9.268765336782339,5.822381931544399,8.781760437510782,148.04670504524697,31.83497495560083,0.17482430194662377,10.833333333333334,14.705716524637127,5.483608094748866,8.566656218195995,159.95228415394823,36.96833940204467,0.26423796402584876,10.833333333333334,9.595884544858192,False,True,False,True
2025-12-22,clean,,0.0,7,14,250,True,6.732933001213814,8.711951053417334,136.87661405548334,33.2062040732214,0.4172368911264887,17.785714285714285,10.743026396714187,6.973755892384486,9.767294758709761,144.7912843732294,32.537755217250954,0.16868442085847993,10.857142857142858,14.929923006423822,7.091737334865795,9.987502762904697,155.1933935316502,37.680344236342194,0.24295089461373592,10.857142857142858,11.380157611318877,False,True,True,False
2025-12-23,clean,,0.0,14,28,492,True,7.139815859109228,9.633955169579577,143.7172874682286,34.77821713458318,0.44137876364726186,17.321428571428573,9.307684178141773,6.588987232502251,9.429866609181127,144.37836345473525,32.32584192660816,0.17118536957300182,10.928571428571429,14.631114369385983,7.233444091876678,10.507850348511772,160.0020364324051,38.73824077802784,0.2739253418341518,10.928571428571429,9.793019951683744,False,True,False,False
2025-12-24,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-25,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-26,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-27,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-28,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-29,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-30,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-31,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
